id,screen_name,text,date/time,custom prediction,textblob prediction
1257097521576513538,KillaKyrie2,delete don like my face on the internet,2020-05-03 23:59:39,0.07698652,0.0
1257097481688625153,SonjaVogt2,check this out alice the legged dog playing ball and killing it,2020-05-03 23:59:30,0.811966,0.0
1257097449304461320,thecamjohnson_,miss guys sm,2020-05-03 23:59:22,0.011021972,0.0
1257097423828197376,jonasfanmiley14,is revealing top tonight about to watch it,2020-05-03 23:59:16,0.99385285,0.5
1257097375715336207,Mike_Light_77,good question you can get propane fueled one cabinet style for 150 300 have used one of those for years my next upgrade will be pellet was going to pull that trigger this spring but then the world went nuts,2020-05-03 23:59:04,0.99877733,0.35
1257097345994502157,ShelbyGrosch,if there is anything else you want to know just reply to this thread obviously am not afraid to be transparent,2020-05-03 23:58:57,0.47337425,0.3
1257097345172414472,ShelbyGrosch,looking forward the plan is to keep my head down and keep doing things that work and get better in other areas my writing can always improve my on camera presence needs work opportunites in video editing become better at selling everything is work in progress end,2020-05-03 23:58:57,0.6838533,0.1798611111111111
1257097344195198979,ShelbyGrosch,financial coaching was not sure how people would react to me offering financial coaching but overall it has been amazing have helped half dozen people become more confident with their money and making better decisions,2020-05-03 23:58:57,0.97781324,0.18703703703703706
1257097343301824512,ShelbyGrosch,money made easy launched course at one of the worst times imo and overall it did well gross revenue is in the figures not much more to say besides think it could be the best 99 investment you can make in your future check it out,2020-05-03 23:58:57,0.9995451,0.02619047619047619
1257097342051901441,ShelbyGrosch,email marketing if you have ever built an online business you will hear that you always need to build an email list have done this from day but did not know what was doing months ago shared how to build quiz funnel can you see it on the chart,2020-05-03 23:58:56,0.86775494,0.0
1257097340692856834,ShelbyGrosch,youtube is still something am trying to figure out so far have uploaded videos at an average of minutes per video going to test new method over the next couple of months to jump start growth,2020-05-03 23:58:56,0.9571508,0.02159090909090909
1257097339199578112,fpcwichita,reflections with the pastor,2020-05-03 23:58:56,0.97522056,0.0
1257097338952265728,ShelbyGrosch,pageviews and organic users both showing positive trend lines but not exponential growth in april set record high for both they are somewhat correlated,2020-05-03 23:58:56,0.9920315,0.19363636363636363
1257097337832460294,twdenton64,assad is surely not the thug the west makes him out to be,2020-05-03 23:58:55,0.6847601,-0.25
1257097337668861952,ShelbyGrosch,it is been minute so let me give you an update on my blog spoiler it is not rolling in the cash as some of you may think thread,2020-05-03 23:58:55,0.7845654,0.0
1257097329036922881,ilIestWillis,this has long been favorite of mine and could gush over it and the novel for days but will try to keep it concise my review of gone with the wind on letterboxd,2020-05-03 23:58:53,0.5119778,0.18333333333333335
1257097328835559426,nemesiscafe,me trying to write my research paper on the influence of politics on minimum wage legislation,2020-05-03 23:58:53,0.95176804,0.0
1257097297252495362,KillaKyrie2,typo,2020-05-03 23:58:46,0.63392925,0.0
1257097267225473024,KillaKyrie2,typo,2020-05-03 23:58:38,0.63392925,0.0
1257097195062468615,jmbwichita,soooooo are you gonna make me refer to you as dr dtmb,2020-05-03 23:58:21,0.94809467,0.0
1257097179900018689,Homebrew_Handy,that 90 blues logo is trash,2020-05-03 23:58:18,0.105243474,0.0
1257097173520482304,KillaKyrie2,bc here,2020-05-03 23:58:16,0.2749918,0.0
1257097155573157893,calistainbloom,wow lmao had no idea lmao,2020-05-03 23:58:12,0.5269281,0.4333333333333333
1257097144324030468,sethviews,my newest project is up go show some love defintely my best car video to date,2020-05-03 23:58:09,0.9085657,0.75
1257097081556217856,KillaKyrie2,delete bc not here,2020-05-03 23:57:54,0.572307,0.0
1257097041127374851,gsmenace,what truly disturbing is how badly dr birx and dr falchi got it all wrong pushing america off course and leaving us with near disaster as we try to right the ship to get america back,2020-05-03 23:57:44,0.27799058,-0.21904761904761902
1257096965130723329,royalfan101,you agree or disagree,2020-05-03 23:57:26,0.8207683,0.0
1257096917479297025,AtlasMD,management is about using others for your success leadership is about stewarding the lives entrusted to you kaushik viswanath,2020-05-03 23:57:15,0.30895442,0.3
1257096869345443840,citizensforale1,greatest president and first lady ever thank you,2020-05-03 23:57:04,0.90902084,0.625
