id,screen_name,text,date/time,custom prediction,textblob prediction
1258003711407697920,rshay2014,finances could be unstable as the moon faces off with unpredic more for aries,2020-05-06 12:00:32,0.99456906,0.5
1258003683322638336,_kalebmac_,it could feel like family member is putting undue pressure more for aquarius,2020-05-06 12:00:25,0.99974394,0.5
1258003651597086723,ashleymeluginn,you 100 right,2020-05-06 12:00:17,0.9288371,0.2857142857142857
1258003627811246082,kmbarrientos7,today normally would have been my first day back to school would have shown off my new beautiful baby girl to my students and enjoyed them telling me how much they missed me wishful thinking instead ll log into zoom for faculty meeting in my pjs,2020-05-06 12:00:12,0.99698365,0.29805194805194807
1258003619514740736,jmlhk91,finances could be unstable as the moon faces off with unpredic more for aries,2020-05-06 12:00:10,0.99456906,0.5
1258003558559072262,standupforsense,ok now am confused republicans say we just need to accept some read lot of deaths to spare our livelihoods these are the same people who keep introducing and passing laws to make abortion illegal even in profoundly harmful circumstances because every life is precious,2020-05-06 11:59:55,0.70497227,0.030555555555555548
1258003500975435778,qandchew22,beast lol,2020-05-06 11:59:41,0.9732884,0.8
1258003499436122112,reallifeshocker,now we have bulldog lawyer sidney powell getting after barry obama wingman eric dirty lawyer holder communications regarding gen flynn while partner in the crooked law firm supposedly representing him,2020-05-06 11:59:41,0.8082853,-0.26666666666666666
1258003277758844929,Z71JAYHAWKS,intrigued by the broncos too hopefully clean sweep is coming for the afc west again,2020-05-06 11:58:48,0.32177436,0.3666666666666667
1258003257374490625,c0rndog,looking good james and kelsey miss you all,2020-05-06 11:58:43,0.9062127,0.7
1258003045205651458,absolutment,the sharing features are great don use it to half its capacity and it so so nice,2020-05-06 11:57:53,0.9531207,0.41111111111111115
1258002845233819650,JackStr13435605,yea im pretty sure everyone knows who am what am about by now,2020-05-06 11:57:05,0.73590887,0.375
1258002789801906177,ResinG116,morning motivation rather than burdening yourself with the future focus and confine your mind to the day ahead milk each day for all its joys and leave the future to its course,2020-05-06 11:56:52,0.8586136,0.0
1258002782340218882,ChrisDKochert,they need to be held accountable for this not sure what else prosecutor needs to see to charge these guys,2020-05-06 11:56:50,0.9984243,-0.25
1258002658796941314,lupe11trejo,love being mom,2020-05-06 11:56:21,0.7084521,0.5
1258002355238428674,absolutment,am seconding evernote even if you don pay for subscription it is extremely powerful,2020-05-06 11:55:08,0.9532647,0.3
1258002273839599617,Dale3Dale88,now michael jackson makes sense,2020-05-06 11:54:49,0.33594584,0.0
1258002267531329538,LadyBugisRich,hell noooooo aye god you never mentioned these muthafuckas in the bible ever at all soo whatsup lord now we turning into jurassic park,2020-05-06 11:54:47,0.9969927,0.0
1258002260933689344,LisaMar02871552,what kind of world do we live in that people hate at potus so much they re willing to let hair sniffing assaulter of women be the front runner for the presidential race of the united states of america wake up people,2020-05-06 11:54:46,0.9618288,0.07727272727272726
1258002229484834817,UghKaylen,shouldn even be awake this early,2020-05-06 11:54:38,0.98927677,0.1
1258002194114232320,SpencerODaniel1,that great story contest builds culture every time,2020-05-06 11:54:30,0.8131809,0.8
1258002184303607809,shadd2000,god will comfort and heal you,2020-05-06 11:54:27,0.4872087,0.0
1258002092742115328,reallifeshocker,andy how did the send the sick back to the nursing home deal work out dumb,2020-05-06 11:54:06,0.13400945,-0.36309523809523814
1258002053286240257,Z71JAYHAWKS,it very early and it happens to the best of us will be bored out of my mind if it is against any nfc team and not the ravens or texans want juicy coach and qb matchup with arrowhead rocking hopefully fans will he allowed by than,2020-05-06 11:53:56,0.95231676,0.20999999999999996
1258002028678299648,TimTheGentleman,everything honestly being able to work my health my family having time to work on projects and learn,2020-05-06 11:53:50,0.9737088,0.55
1258001928333770752,JackStr13435605,he knows this at this point he is outright lying to slander me he knows it,2020-05-06 11:53:26,0.98141044,0.0
1258001786989875200,KristenMVice,mandala inspired sobriety date ring swipe to see more this is 12 gauge thick ring it is topped with circle that has mandala design stamped in you can choose the imprint color black or turquoise,2020-05-06 11:52:53,0.9998226,0.0111111111111111
1258001740357677056,VC262super,mr feeny is right on target,2020-05-06 11:52:42,0.67057455,0.2857142857142857
1258001737878835201,JackStr13435605,my twitter name comes from grateful dead song so it would not ever be just jack it is jack straw always,2020-05-06 11:52:41,0.90342396,-0.2
1258001565543280640,BrestonWesNSR,new day thank you lord,2020-05-06 11:52:00,0.9676635,0.13636363636363635
1258001546538778624,reallifeshocker,the dude is fixated on the word oftentimes dementia loosens the tongue,2020-05-06 11:51:55,0.95423263,0.0
1258001472899502080,JackStr13435605,he keeps claiming am this jack from nerkish discord problem is man of sex had to teach me how to even use discord just few months back the persons name was just jack as if am the only jack on the internet,2020-05-06 11:51:38,0.94174707,-0.06666666666666667
1258001427093389313,TimTheGentleman,when hanging posters thumb tack would not go in so used hammer the tack somehow rotated amp lightly stabbed my knuckle barely penetrated the next day my finger was stiff amp in mad pain got treated but was like for about week,2020-05-06 11:51:27,0.05546516,-0.07785714285714285
1258001361683329026,kraytonh,jim croce hard time losin man via,2020-05-06 11:51:11,0.5740704,-0.2916666666666667
1258001309631950849,Liberty1Jami,then go back to him see if he will still have you eh do not want her you can have her what else am supposed to do what if she really does kill herself less righteous assholes,2020-05-06 11:50:59,0.71654963,0.011111111111111118
1258001180858474497,ccm6700,dear can understand slight markup instead of the price tag at wal mart but why do you still let these scam artists try to rob people,2020-05-06 11:50:28,0.964288,-0.16666666666666666
1258001146192572416,_taymaraaaa,lets see what wendy breakfast talking about,2020-05-06 11:50:20,0.85786223,0.0
1258001080937480192,sling63,pelosi not even an illusion of representing her constituents,2020-05-06 11:50:04,0.8923351,0.0
1258000852989739008,JackStr13435605,hey am the only jack in the internet too,2020-05-06 11:49:10,0.9985926,0.0
1258000820567769088,reallifeshocker,perez is truly despicable dishonest unlikeable man,2020-05-06 11:49:02,0.28501487,-0.3
1258000737939992577,CharityOverman,think would be the most fun person to be stuck in quarantine with,2020-05-06 11:48:43,0.97392666,0.4
1258000726271328262,therealcoachv,316 work,2020-05-06 11:48:40,0.63848937,0.0
1258000603126673410,r0b1ndee0912,not just shook hands but went in for hug,2020-05-06 11:48:10,0.9651611,0.0
1258000541277290498,bodybyrenaire,rolling out our new classes likemake sure to sign up for mom wed virtual boot camp class starting at 5pm today,2020-05-06 11:47:56,0.8973405,0.21212121212121213
